,Model4_class0,Model4_class1,Label
0,0.9993684887886047,0.0006315846694633365,0
1,0.9993659853935242,0.0006340127438306808,0
2,0.0002479826507624239,0.9997519850730896,1
3,0.9993869066238403,0.0006131331901997328,0
4,0.9993759989738464,0.0006240568473003805,0
5,0.9993588328361511,0.000641145627014339,0
6,0.9993763566017151,0.000623669708147645,0
7,0.00024697560002096,0.9997530579566956,1
8,0.0002479890245012939,0.9997519850730896,1
9,0.0003811287460848689,0.9996188879013062,1
10,0.9993693232536316,0.0006307263392955065,0
11,0.00028716379893012345,0.9997127652168274,1
12,0.9993553757667542,0.0006446728366427124,0
13,0.9993842840194702,0.0006157082971185446,0
14,0.9993829727172852,0.0006169562693685293,0
15,0.9993593096733093,0.0006407403852790594,0
16,0.0002498570829629898,0.9997501969337463,1
17,0.9993830919265747,0.0006168595282360911,0
18,0.9990956783294678,0.0009043679456226528,0
19,0.00025002434267662466,0.9997499585151672,1
20,0.00025103118969127536,0.9997490048408508,1
21,0.9993554949760437,0.000644482031930238,0
22,0.00024917503469623625,0.9997507929801941,1
23,0.9993420243263245,0.0006579692708328366,0
24,0.9993594288825989,0.000640631653368473,0
25,0.0002720773045439273,0.9997279047966003,1
26,0.0002507049066480249,0.9997492432594299,1
27,0.9993731379508972,0.0006269122823141515,0
28,0.9993719458580017,0.0006280296365730464,0
29,0.9352203011512756,0.06477966904640198,0
30,0.00024929764913395047,0.9997506737709045,1
31,0.0002491564955562353,0.9997507929801941,1
32,0.9993764758110046,0.000623521744273603,0
33,0.000839691492728889,0.9991602897644043,1
34,0.0005810628645122051,0.9994189739227295,1
35,0.0002449454623274505,0.9997550845146179,1
36,0.9993582367897034,0.0006417518015950918,0
37,0.00025145901599898934,0.9997485280036926,1
38,0.9993709921836853,0.0006290297606028616,0
39,0.0002430916647426784,0.9997568726539612,1
40,0.9993809461593628,0.0006189761334098876,0
41,0.0002481872506905347,0.9997518658638,1
42,0.9993832111358643,0.0006167989922687411,0
43,0.9993840456008911,0.0006158872856758535,0
44,0.9993498921394348,0.0006501333555206656,0
45,0.9993707537651062,0.0006292762118391693,0
46,0.9993758797645569,0.0006241837982088327,0
47,0.9993830919265747,0.0006169357220642269,0
48,0.9993454813957214,0.0006545243668369949,0
49,0.000280481152003631,0.9997194409370422,1
50,0.9992081522941589,0.0007919064955785871,0
51,0.9993698000907898,0.0006302176043391228,0
52,0.0002474597713444382,0.9997525811195374,1
53,0.9993810653686523,0.0006189154228195548,0
54,0.0002533795195631683,0.9997466206550598,1
55,0.00024678988847881556,0.9997531771659851,1
56,0.00024568993831053376,0.9997542500495911,1
57,0.00025180663214996457,0.999748170375824,1
