id,model1_Class0,model1_Class1,model2_Class0,model2_Class1,model3_Class0,model3_Class1,model4_Class0,model4_Class1,Label
1,0.9992889165878296,0.0007111022714525461,0.9990757703781128,0.0009242217056453228,0.9998561143875122,0.00014388083945959806,0.999957799911499,4.2233998101437464e-05,0
2,0.9997028708457947,0.000297089311061427,0.9981542229652405,0.0018458132399246097,0.999927282333374,7.273175287991762e-05,0.9998923540115356,0.0001076327680493705,0
3,0.0004181189287919551,0.9995818734169006,0.0009374682558700442,0.9990625977516174,2.6409723432152532e-05,0.9999735355377197,0.0003000582510139793,0.9996999502182007,1
4,0.9998642206192017,0.00013574646436609328,0.9990352392196655,0.0009647938422858715,0.9999299049377441,7.006820669630542e-05,0.9999606609344482,3.935425411327742e-05,0
5,0.9998434782028198,0.0001565315469633788,0.9990711212158203,0.000928838737308979,0.9999470710754395,5.2926785429008305e-05,0.9999558925628662,4.415528383105993e-05,0
6,0.9998242259025574,0.00017585621390026063,0.9990819692611694,0.0009179722401313484,0.9998838901519775,0.00011615258699748665,0.9999573230743408,4.262989750714041e-05,0
7,0.9998430013656616,0.00015698789502494037,0.999085545539856,0.000914408010430634,0.9999234676361084,7.655514491489157e-05,0.999950647354126,4.93972038384527e-05,0
8,0.0004131089081056416,0.9995868802070618,0.0009352498454973102,0.9990647435188293,4.706903564510867e-05,0.9999529123306274,0.0038482355885207653,0.9961517453193665,1
9,0.00037640726077370346,0.9996235370635986,0.000903939304407686,0.9990960359573364,4.3408028432168067e-05,0.9999566078186035,4.998235817765817e-05,0.9999500513076782,1
10,0.0008870286401361227,0.9991129040718079,0.05642787367105484,0.9435721039772034,0.010461175814270973,0.989538848400116,0.6265912652015686,0.373408704996109,1
11,0.99981290102005,0.00018711017037276179,0.9990888833999634,0.0009111379622481763,0.9989147186279297,0.001085293828509748,0.9999122619628906,8.77491693245247e-05,0
12,0.001200114726088941,0.9987999200820923,0.0033234162256121635,0.9966765642166138,0.0003681097587104887,0.9996318817138672,0.27464622259140015,0.7253538370132446,1
13,0.9998086094856262,0.00019146909471601248,0.9990956783294678,0.0009043519385159016,0.8645994067192078,0.13540063798427582,0.9999027252197266,9.72119378275238e-05,0
14,0.9998199343681335,0.00018010010535363108,0.9990398287773132,0.0009601109195500612,0.9998052716255188,0.000194766151253134,0.9999526739120483,4.73756663268432e-05,0
15,0.9998626708984375,0.0001373355189571157,0.9990851879119873,0.0009147783857770264,0.9999339580535889,6.600378401344642e-05,0.9999531507492065,4.6831872168695554e-05,0
16,0.9996209144592285,0.00037902864278294146,0.9990654587745667,0.0009345377329736948,0.9995266199111938,0.0004734387621283531,0.999962568283081,3.738782470463775e-05,0
17,0.0004018446197733283,0.9995982050895691,0.000909442373085767,0.9990905523300171,0.00015958563017193228,0.9998403787612915,0.0002519389381632209,0.9997480511665344,1
18,0.9996975660324097,0.00030250553390942514,0.9990224838256836,0.000977521762251854,0.9999340772628784,6.589561962755397e-05,0.9999583959579468,4.15985232393723e-05,0
19,0.9982477426528931,0.0017523065907880664,0.9982463121414185,0.0017537192907184362,0.9510177373886108,0.04898224025964737,0.9998136162757874,0.00018642084614839405,0
